Site_A,Site_B,Fst,significant,f'st,significantLevels,,,
un09SS1,un09N6,0.03,y,,,,,
un09SS1,un09N7,0.02,y,,,,,
un09SS1,un09N8,0.03,y,,,,,
un09SS2,un09SS3,0,y,,,,,
un09SS2,un09RS11,0.06,y,,,,,
un09SS2,un09RS1S,0.07,y,,,,,
un09SS2,un09RS22,0.06,y,,,,,
un09SS2,un09RS2S,0.04,y,,,,,
un09SS2,un09RS33,0.04,y,,,,,
un09SS2,un09RS3S,0.05,y,,,,,
un09SS2,un09DC1,0.12,y,,,,,
un09SS2,un09DE1,0.13,y,,,,,
un09SS2,un09DE2,0.12,y,,,,,
un09SS2,un09DE3,0.14,y,,,,,
un09SS2,un09DW1,0.1,y,,,,,
un09SS2,un09DW2,0.14,y,,,,,
un09SS2,un09N1,0.07,y,,,,,
un09SS2,un09N3,0.08,y,,,,,
un09SS2,un09N4,0.08,y,,,,,
un09SS2,un09N5,0.1,y,,,,,
un09SS2,un09N6,0.07,y,,,,,
un09SS2,un09N7,0.06,y,,,,,
un09SS2,un09N8,0.1,y,,,,,
un09SS3,un09RS11,0.07,y,,,,,
un09SS3,un09RS1S,0.09,y,,,,,
un09SS3,un09RS22,0.06,y,,,,,
un09SS3,un09RS2S,0.03,y,,,,,
un09SS3,un09RS33,0.03,y,,,,,
un09SS3,un09RS3S,0.03,y,,,,,
un09SS3,un09DC1,0.12,y,,,,,
un09SS3,un09DE1,0.14,y,,,,,
un09SS3,un09DE2,0.13,y,,,,,
un09SS3,un09DE3,0.15,y,,,,,
un09SS3,un09DW1,0.11,y,,,,,
un09SS3,un09DW2,0.15,y,,,,,
un09SS3,un09N1,0.05,y,,,,,
un09SS3,un09N3,0.06,y,,,,,
un09SS3,un09N4,0.06,y,,,,,
un09SS3,un09N5,0.09,y,,,,,
un09SS3,un09N6,0.05,y,,,,,
un09SS3,un09N7,0.04,y,,,,,
un09SS3,un09N8,0.08,y,,,,,
un09RS11,un09RS1S,0.01,y,,,,,
un09RS11,un09RS22,0.01,y,,,,,
un09RS11,un09RS2S,0.01,y,,,,,
un09RS11,un09RS33,0.03,y,,,,,
un09RS11,un09RS3S,0.06,y,,,,,
un09RS11,un09DC1,0.07,y,,,,,
un09RS11,un09DE1,0.07,y,,,,,
un09RS11,un09DE2,0.06,y,,,,,
un09RS11,un09DE3,0.08,y,,,,,
un09RS11,un09DW1,0.06,y,,,,,
un09RS11,un09DW2,0.08,y,,,,,
un09RS11,un09N1,0.05,y,,,,,
un09RS11,un09N3,0.05,y,,,,,
un09RS11,un09N4,0.06,y,,,,,
un09RS11,un09N5,0.06,y,,,,,
un09RS11,un09N6,0.06,y,,,,,
un09RS11,un09N7,0.06,y,,,,,
un09RS11,un09N8,0.05,y,,,,,
un09RS1S,un09RS22,0.02,y,,,,,
un09RS1S,un09RS2S,0.03,y,,,,,
un09RS1S,un09RS33,0.06,y,,,,,
un09RS1S,un09RS3S,0.09,y,,,,,
un09RS1S,un09DC1,0.09,y,,,,,
un09RS1S,un09DE1,0.07,y,,,,,
un09RS1S,un09DE2,0.06,y,,,,,
un09RS1S,un09DE3,0.08,y,,,,,
un09RS1S,un09DW1,0.06,y,,,,,
un09RS1S,un09DW2,0.08,y,,,,,
un09RS1S,un09N1,0.07,y,,,,,
un09RS1S,un09N3,0.08,y,,,,,
un09RS1S,un09N4,0.09,y,,,,,
un09RS1S,un09N5,0.06,y,,,,,
un09RS1S,un09N6,0.07,y,,,,,
un09RS1S,un09N7,0.08,y,,,,,
un09RS1S,un09N8,0.06,y,,,,,
un09RS22,un09RS2S,0.01,y,,,,,
un09RS22,un09RS33,0.02,y,,,,,
un09RS22,un09RS3S,0.04,y,,,,,
un09RS22,un09DC1,0.09,y,,,,,
un09RS22,un09DE1,0.1,y,,,,,
un09RS22,un09DE2,0.1,y,,,,,
un09RS22,un09DE3,0.11,y,,,,,
un09RS22,un09DW1,0.09,y,,,,,
un09RS22,un09DW2,0.12,y,,,,,
un09RS22,un09N1,0.05,y,,,,,
un09RS22,un09N3,0.05,y,,,,,
un09RS22,un09N4,0.06,y,,,,,
un09RS22,un09N5,0.06,y,,,,,
un09RS22,un09N6,0.07,y,,,,,
un09RS22,un09N7,0.06,y,,,,,
un09RS22,un09N8,0.06,y,,,,,
un09RS2S,un09RS33,0,y,,,,,
un09RS2S,un09RS3S,0.01,y,,,,,
un09RS2S,un09DC1,0.07,y,,,,,
un09RS2S,un09DE1,0.09,y,,,,,
un09RS2S,un09DE2,0.08,y,,,,,
un09RS2S,un09DE3,0.1,y,,,,,
un09RS2S,un09DW1,0.08,y,,,,,
un09RS2S,un09DW2,0.11,y,,,,,
un09RS2S,un09N1,0.03,y,,,,,
un09RS2S,un09N3,0.03,y,,,,,
un09RS2S,un09N4,0.04,y,,,,,
un09RS2S,un09N5,0.05,y,,,,,
un09RS2S,un09N6,0.04,y,,,,,
un09RS2S,un09N7,0.04,y,,,,,
un09RS2S,un09N8,0.04,y,,,,,
un09RS33,un09RS3S,0,y,,,,,
un09RS33,un09DC1,0.11,y,,,,,
un09RS33,un09DE1,0.14,y,,,,,
un09RS33,un09DE2,0.12,y,,,,,
un09RS33,un09DE3,0.15,y,,,,,
un09RS33,un09DW1,0.12,y,,,,,
un09RS33,un09DW2,0.15,y,,,,,
un09RS33,un09N1,0.04,y,,,,,
un09RS33,un09N3,0.05,y,,,,,
un09RS33,un09N4,0.06,y,,,,,
un09RS33,un09N5,0.09,y,,,,,
un09RS33,un09N6,0.07,y,,,,,
un09RS33,un09N7,0.05,y,,,,,
un09RS33,un09N8,0.08,y,,,,,
un09RS3S,un09DC1,0.12,y,,,,,
un09RS3S,un09DE1,0.15,y,,,,,
un09RS3S,un09DE2,0.14,y,,,,,
un09RS3S,un09DE3,0.16,y,,,,,
un09RS3S,un09DW1,0.13,y,,,,,
un09RS3S,un09DW2,0.17,y,,,,,
un09RS3S,un09N1,0.05,y,,,,,
un09RS3S,un09N3,0.04,y,,,,,
un09RS3S,un09N4,0.07,y,,,,,
un09RS3S,un09N5,0.09,y,,,,,
un09RS3S,un09N6,0.08,y,,,,,
un09RS3S,un09N7,0.06,y,,,,,
un09RS3S,un09N8,0.08,y,,,,,
un09DC1,un09DE1,0.02,y,,,,,
un09DC1,un09DE2,0,y,,,,,
un09DC1,un09DE3,0.01,y,,,,,
un09DC1,un09DW1,0.01,y,,,,,
un09DC1,un09DW2,0.03,y,,,,,
un09DC1,un09N1,0.05,y,,,,,
un09DC1,un09N3,0.03,y,,,,,
un09DC1,un09N4,0.04,y,,,,,
un09DC1,un09N5,0.01,y,,,,,
un09DC1,un09N6,0.03,y,,,,,
un09DC1,un09N7,0.05,y,,,,,
un09DC1,un09N8,0.01,y,,,,,
un09DE1,un09DE2,0,n,,,,,
un09DE1,un09DE3,0,n,,,,,
un09DE1,un09DW1,0,n,,,,,
un09DE1,un09DW2,0,n,,,,,
un09DE1,un09N1,0.09,y,,,,,
un09DE1,un09N3,0.07,y,,,,,
un09DE1,un09N4,0.08,y,,,,,
un09DE1,un09N5,0.03,y,,,,,
un09DE1,un09N6,0.05,y,,,,,
un09DE1,un09N7,0.08,y,,,,,
un09DE1,un09N8,0.03,n,,,,,
un09DE2,un09DE3,0,n,,,,,
un09DE2,un09DW1,0,n,,,,,
un09DE2,un09DW2,0,n,,,,,
un09DE2,un09N1,0.07,y,,,,,
un09DE2,un09N3,0.06,y,,,,,
un09DE2,un09N4,0.07,y,,,,,
un09DE2,un09N5,0.02,y,,,,,
un09DE2,un09N6,0.05,y,,,,,
un09DE2,un09N7,0.07,y,,,,,
un09DE2,un09N8,0.02,y,,,,,
un09DE3,un09DW1,0,n,,,,,
un09DE3,un09DW2,0,n,,,,,
un09DE3,un09N1,0.09,y,,,,,
un09DE3,un09N3,0.07,y,,,,,
un09DE3,un09N4,0.08,y,,,,,
un09DE3,un09N5,0.03,y,,,,,
un09DE3,un09N6,0.06,y,,,,,
un09DE3,un09N7,0.08,y,,,,,
un09DE3,un09N8,0.03,y,,,,,
un09DW1,un09DW2,0,n,,,,,
un09DW1,un09N1,0.09,y,,,,,
un09DW1,un09N3,0.07,y,,,,,
un09DW1,un09N4,0.08,y,,,,,
un09DW1,un09N5,0.03,y,,,,,
un09DW1,un09N6,0.05,y,,,,,
un09DW1,un09N7,0.08,y,,,,,
un09DW1,un09N8,0.03,y,,,,,
un09DW2,un09N1,0.11,y,,,,,
un09DW2,un09N3,0.09,y,,,,,
un09DW2,un09N4,0.1,y,,,,,
un09DW2,un09N5,0.05,y,,,,,
un09DW2,un09N6,0.07,y,,,,,
un09DW2,un09N7,0.1,y,,,,,
un09DW2,un09N8,0.05,y,,,,,
un09N1,un09N3,0,n,,,,,
un09N1,un09N4,0,n,,,,,
un09N1,un09N5,0.02,n,,,,,
un09N1,un09N6,0.02,n,,,,,
un09N1,un09N7,0.01,n,,,,,
un09N1,un09N8,0.02,n,,,,,
un09N3,un09N4,0,n,,,,,
un09N3,un09N5,0.03,y,,,,,
un09N3,un09N6,0.03,y,,,,,
un09N3,un09N7,0.03,y,,,,,
un09N3,un09N8,0.02,y,,,,,
un09N4,un09N5,0.03,y,,,,,
un09N4,un09N6,0.01,y,,,,,
un09N4,un09N7,0.01,y,,,,,
un09N4,un09N8,0.03,y,,,,,
un09N5,un09N6,0.01,y,,,,,
un09N5,un09N7,0.03,y,,,,,
un09N5,un09N8,0,n,,,,,
un09N6,un09N7,0,n,,,,,
un09N6,un09N8,0.01,n,,,,,
un09N7,un09N8,0.02,n,,,,,
th20MS1dig,th20MS2dig,0.015,y,,,,,
th20MS1dig,th20ML1dig,0.018,y,,,,,
th20MS1dig,th20ML2dig,0.015,y,,,,,
th20MS1dig,th20CS1dig,0.018,y,,,,,
th20MS1dig,th20CS2dig,0.014,y,,,,,
th20MS1dig,th20CL1dig,0.015,y,,,,,
th20MS1dig,th20CL2dig,0.015,y,,,,,
th20MS1dig,th20IS1dig,0.015,y,,,,,
th20MS2dig,th20ML1dig,0.015,y,,,,,
th20MS2dig,th20ML2dig,0.012,y,,,,,
th20MS2dig,th20CS1dig,0.015,y,,,,,
th20MS2dig,th20CS2dig,0.012,y,,,,,
th20MS2dig,th20CL1dig,0.012,y,,,,,
th20MS2dig,th20CL2dig,0.012,y,,,,,
th20MS2dig,th20IS1dig,0.012,y,,,,,
th20ML1dig,th20ML2dig,0.015,y,,,,,
th20ML1dig,th20CS1dig,0.018,y,,,,,
th20ML1dig,th20CS2dig,0.014,y,,,,,
th20ML1dig,th20CL1dig,0.015,y,,,,,
th20ML1dig,th20CL2dig,0.015,y,,,,,
th20ML1dig,th20IS1dig,0.015,y,,,,,
th20ML2dig,th20CS1dig,0.015,y,,,,,
th20ML2dig,th20CS2dig,0.012,y,,,,,
th20ML2dig,th20CL1dig,0.011,y,,,,,
th20ML2dig,th20CL2dig,0.012,y,,,,,
th20ML2dig,th20IS1dig,0.012,y,,,,,
th20CS1dig,th20CS2dig,0.015,y,,,,,
th20CS1dig,th20CL1dig,0.015,y,,,,,
th20CS1dig,th20CL2dig,0.015,y,,,,,
th20CS1dig,th20IS1dig,0.015,y,,,,,
th20CS2dig,th20CL1dig,0.011,y,,,,,
th20CS2dig,th20CL2dig,0.012,y,,,,,
th20CS2dig,th20IS1dig,0.012,y,,,,,
th20CL1dig,th20CL2dig,0.012,y,,,,,
th20CL1dig,th20IS1dig,0.012,y,,,,,
th20CL2dig,th20IS1dig,0.013,y,,,,,
th20MS1bru,th20MS2bru,0.022,y,,,,,
th20MS1bru,th20ML1bru,0.035,y,,,,,
th20MS1bru,th20ML2bru,0.058,y,,,,,
th20MS1bru,th20CS1bru,0.03,y,,,,,
th20MS1bru,th20CS2bru,0.027,y,,,,,
th20MS1bru,th20CL1bru,0.034,y,,,,,
th20MS1bru,th20CL2bru,0.034,y,,,,,
th20MS1bru,th20IS1bru,0.034,y,,,,,
th20MS2bru,th20ML1bru,0.035,y,,,,,
th20MS2bru,th20ML2bru,0.056,y,,,,,
th20MS2bru,th20CS1bru,0.024,y,,,,,
th20MS2bru,th20CS2bru,0.022,y,,,,,
th20MS2bru,th20CL1bru,0.034,y,,,,,
th20MS2bru,th20CL2bru,0.034,y,,,,,
th20MS2bru,th20IS1bru,0.028,y,,,,,
th20ML1bru,th20ML2bru,0.059,y,,,,,
th20ML1bru,th20CS1bru,0.038,y,,,,,
th20ML1bru,th20CS2bru,0.036,y,,,,,
th20ML1bru,th20CL1bru,0.038,y,,,,,
th20ML1bru,th20CL2bru,0.038,y,,,,,
th20ML1bru,th20IS1bru,0.041,y,,,,,
th20ML2bru,th20CS1bru,0.06,y,,,,,
th20ML2bru,th20CS2bru,0.056,y,,,,,
th20ML2bru,th20CL1bru,0.059,y,,,,,
th20ML2bru,th20CL2bru,0.059,y,,,,,
th20ML2bru,th20IS1bru,0.062,y,,,,,
th20CS1bru,th20CS2bru,0.014,y,,,,,
th20CS1bru,th20CL1bru,0.03,y,,,,,
th20CS1bru,th20CL2bru,0.03,y,,,,,
th20CS1bru,th20IS1bru,0.028,y,,,,,
th20CS2bru,th20CL1bru,0.026,y,,,,,
th20CS2bru,th20CL2bru,0.027,y,,,,,
th20CS2bru,th20IS1bru,0.026,y,,,,,
th20CL1bru,th20CL2bru,0.016,n,,,,,
th20CL1bru,th20IS1bru,0.035,y,,,,,
th20CL2bru,th20IS1bru,0.035,y,,,,,
ad21Qu,ad21GN,-0.002,n,,,,,
ad21Qu,ad21JI,0.749,y,,,,,
ad21Qu,ad21HI,0.726,y,,,,,
ad21Qu,ad21NS,0,n,,,,,
ad21Qu,ad21Au,0.724,y,,,,,
ad21Qu,ad21OI,0.693,y,,,,,
ad21Qu,ad21Ad,0.092,y,,,,,
ad21Qu,ad21BR,0.097,y,,,,,
