Site_A,Site_B,Fst,significant,Region_A,Spawn_A,Species_A,Author_A,Year_A,Lat_A,Lon_A,Taxon_A,Study_A,Region_B,Spawn_B,Species_B,Author_B,Year_B,Lat_B,Lon_B,Taxon_B,Study_B,study,same_region,region_pair,marker_category,marker_resolution,geo_dist_km
ev19D1,ev19EG2,0.026,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.2947,114.1497,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Exmouth Gulf,Microsatellite,Medium,315.7197773292316
ev19D1,ev19Bu1,0.029,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.8487,114.1695,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Exmouth Gulf,Microsatellite,Medium,286.2231512425142
ev19D1,ev19Bu2,0.03,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.8815,114.1529,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Exmouth Gulf,Microsatellite,Medium,289.5492656086837
ev19D1,ev19N1,0.024,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.9076,113.968,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Ningaloo,Microsatellite,Medium,307.5552805512399
ev19D1,ev19N2,0.026,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.0079,113.9197,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Ningaloo,Microsatellite,Medium,317.4376171383069
ev19D1,ev19CB,0.039,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-23.1404,113.753,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Ningaloo,Microsatellite,Medium,408.5340157554574
ev19D1,ev19SB1,0.102,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Shark Bay,broadcast,Cyphastrea microphthalma,Evans et al,2019,-26.1244,113.2357,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Shark Bay,Microsatellite,Medium,707.528752599033
ev19D1,ev19SB2,0.098,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5402,116.5435,Cyphastrea,ev19,Shark Bay,broadcast,Cyphastrea microphthalma,Evans et al,2019,-25.8513,113.3481,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Shark Bay,Microsatellite,Medium,675.5213025866256
ev19D2,ev19M1,0.018,n,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Pilbara Offshore,Microsatellite,Medium,125.28250541321228
ev19D2,ev19M2,0.02,n,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5058,115.5215,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Pilbara Offshore,Microsatellite,Medium,130.9479487388478
ev19D2,ev19Mu1,0.022,n,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.6454,114.3823,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Pilbara Offshore,Microsatellite,Medium,277.6593178282483
ev19D2,ev19Mu2,0.029,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.669,114.3508,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Pilbara Offshore,Microsatellite,Medium,281.74092032117875
ev19D2,ev19T1,0.017,n,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4514,115.0326,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Pilbara nearshore,Microsatellite,Medium,207.9387036586113
ev19D2,ev19T2,0.03,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4448,114.9885,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Pilbara nearshore,Microsatellite,Medium,211.5983085934851
ev19D2,ev19EG1,0.032,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.3008,114.1781,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Exmouth Gulf,Microsatellite,Medium,333.3128743532876
ev19D2,ev19EG2,0.027,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.2947,114.1497,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Exmouth Gulf,Microsatellite,Medium,335.3031246145591
ev19D2,ev19Bu1,0.025,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.8487,114.1695,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Exmouth Gulf,Microsatellite,Medium,307.5280481186691
ev19D2,ev19Bu2,0.03,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.8815,114.1529,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Exmouth Gulf,Microsatellite,Medium,310.760580695389
ev19D2,ev19N1,0.025,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.9076,113.968,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Ningaloo,Microsatellite,Medium,329.0195618328332
ev19D2,ev19N2,0.03,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.0079,113.9197,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Ningaloo,Microsatellite,Medium,338.63319170334273
ev19D2,ev19CB,0.045,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-23.1404,113.753,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Ningaloo,Microsatellite,Medium,426.17597074142174
ev19D2,ev19SB1,0.097,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Shark Bay,broadcast,Cyphastrea microphthalma,Evans et al,2019,-26.1244,113.2357,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Shark Bay,Microsatellite,Medium,719.5688226745849
ev19D2,ev19SB2,0.105,y,Dampier Archipelago,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.5367,116.7771,Cyphastrea,ev19,Shark Bay,broadcast,Cyphastrea microphthalma,Evans et al,2019,-25.8513,113.3481,Cyphastrea,ev19,ev19,FALSE,Dampier Archipelago <-> Shark Bay,Microsatellite,Medium,687.7316172867825
ev19M1,ev19T1,0.018,n,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4514,115.0326,Cyphastrea,ev19,ev19,FALSE,Pilbara nearshore <-> Pilbara Offshore,Microsatellite,Medium,129.6197665024933
ev19M1,ev19T2,0.031,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Pilbara nearshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.4448,114.9885,Cyphastrea,ev19,ev19,FALSE,Pilbara nearshore <-> Pilbara Offshore,Microsatellite,Medium,131.0638551527659
ev19M1,ev19EG1,0.037,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.3008,114.1781,Cyphastrea,ev19,ev19,FALSE,Exmouth Gulf <-> Pilbara Offshore,Microsatellite,Medium,256.2824508440601
ev19M1,ev19EG2,0.028,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.2947,114.1497,Cyphastrea,ev19,ev19,FALSE,Exmouth Gulf <-> Pilbara Offshore,Microsatellite,Medium,257.4151649288776
ev19M1,ev19Bu1,0.032,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.8487,114.1695,Cyphastrea,ev19,ev19,FALSE,Exmouth Gulf <-> Pilbara Offshore,Microsatellite,Medium,217.5354437485916
ev19M1,ev19Bu2,0.028,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Exmouth Gulf,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.8815,114.1529,Cyphastrea,ev19,ev19,FALSE,Exmouth Gulf <-> Pilbara Offshore,Microsatellite,Medium,221.3847600692612
ev19M1,ev19N1,0.025,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-21.9076,113.968,Cyphastrea,ev19,ev19,FALSE,Ningaloo <-> Pilbara Offshore,Microsatellite,Medium,236.72846902149246
ev19M1,ev19N2,0.027,y,Pilbara Offshore,broadcast,Cyphastrea microphthalma,Evans et al,2019,-20.407,115.5838,Cyphastrea,ev19,Ningaloo,broadcast,Cyphastrea microphthalma,Evans et al,2019,-22.0079,113.9197,Cyphastrea,ev19,ev19,FALSE,Ningaloo <-> Pilbara Offshore,Microsatellite,Medium,248.1570586871436
