Site_A,Site_B,Fst,significant,Region_A,Spawn_A,Species_A,Author_A,Year_A,Lat_A,Lon_A,Taxon_A,Study_A,Region_B,Spawn_B,Species_B,Author_B,Year_B,Lat_B,Lon_B,Taxon_B,Study_B,study,same_region,region_pair,marker_category,marker_resolution
un09SL4,un09SL5,0,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.1,121.9,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.12,121.88,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL4,un09SS1,0.01,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.1,121.9,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14,121.77,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL4,un09SS2,0.01,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.1,121.9,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-13.95,121.8,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL4,un09SS3,0.01,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.1,121.9,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-13.9,121.83,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL5,un09SS1,0.01,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.12,121.88,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14,121.77,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL5,un09SS2,0.02,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.12,121.88,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-13.95,121.8,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SL5,un09SS3,0.02,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14.12,121.88,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-13.9,121.83,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SS1,un09SS2,0.02,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14,121.77,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-13.95,121.8,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SS1,un09SS3,0.01,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-14,121.77,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-13.9,121.83,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09SS2,un09SS3,0,y,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-13.95,121.8,Acropora,un09,Scott Reef,broadcast,Acropora tenuis,Underwood,2009,-13.9,121.83,Acropora,un09,un09,TRUE,Scott Reef <-> Scott Reef,Microsatellite,Medium
un09RS11,un09RS1S,0.01,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,118.97,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,118.98,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS11,un09RS22,0.01,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,118.97,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,119.05,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS11,un09RS2S,0.01,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,118.97,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,119.07,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS11,un09RS33,0.03,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,118.97,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.3,119.13,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS11,un09RS3S,0.06,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,118.97,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.28,119.15,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
un09RS1S,un09RS22,0.02,y,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,118.98,Acropora,un09,Rowley Shoals,broadcast,Acropora tenuis,Underwood,2009,-17.33,119.05,Acropora,un09,un09,TRUE,Rowley Shoals <-> Rowley Shoals,Microsatellite,Medium
